Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","RolesStack/DataLoadRole/Resource","Suppressed","AWSLambdaBasicExecutionRole AWS managed policy is Required.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","RolesStack/DataLoadRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/DataLoadPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/DataLoadPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/DataLoadPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/DataLoadPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","RolesStack/Delta2QRole/Resource","Suppressed","AWSLambdaBasicExecutionRole AWS managed policy is Required.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","RolesStack/Delta2QRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","RolesStack/Delta2QRole/Resource","Suppressed","AWSLambdaBasicExecutionRole AWS managed policy is Required.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","RolesStack/Delta2QRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/Delta2QPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","RolesStack/EnrichmentRole/Resource","Suppressed","AWSLambdaBasicExecutionRole AWS managed policy is Required.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","RolesStack/EnrichmentRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","RolesStack/EnrichmentRole/Resource","Suppressed","AWSLambdaBasicExecutionRole AWS managed policy is Required.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","RolesStack/EnrichmentRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","RolesStack/EnrichmentPolicy/Resource","Suppressed","Wildcards are necessary here.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
