 Name                               Version      License                              
 Jinja2                             3.1.4        BSD License                          
 MarkupSafe                         2.1.5        BSD License                          
 Pygments                           2.18.0       BSD License                          
 appnope                            0.1.4        BSD License                          
 asttokens                          2.4.1        Apache 2.0                           
 attrs                              23.2.0       MIT License                          
 aws-cdk-lib                        2.132.1      Apache-2.0                           
 aws-cdk.asset-awscli-v1            2.2.202      Apache-2.0                           
 aws-cdk.asset-kubectl-v20          2.1.2        Apache-2.0                           
 aws-cdk.asset-node-proxy-agent-v6  2.0.3        Apache-2.0                           
 backcall                           0.2.0        BSD License                          
 beautifulsoup4                     4.12.3       MIT License                          
 bleach                             6.1.0        Apache Software License              
 cattrs                             23.2.3       MIT License                          
 certifi                            2024.7.4     Mozilla Public License 2.0 (MPL 2.0) 
 charset-normalizer                 3.3.2        MIT License                          
 constructs                         10.3.0       Apache-2.0                           
 decorator                          5.1.1        BSD License                          
 defusedxml                         0.7.1        Python Software Foundation License   
 docopt                             0.6.2        MIT License                          
 executing                          2.0.1        MIT License                          
 fastjsonschema                     2.20.0       BSD License                          
 idna                               3.7          BSD License                          
 importlib_resources                6.4.0        Apache Software License              
 ipython                            8.12.3       BSD License                          
 jedi                               0.19.1       MIT License                          
 jsii                               1.101.0      Apache Software License              
 jsonschema                         4.23.0       MIT License                          
 jsonschema-specifications          2023.12.1    MIT License                          
 jupyter_client                     8.6.2        BSD License                          
 jupyter_core                       5.7.2        BSD License                          
 jupyterlab_pygments                0.3.0        BSD License                          
 matplotlib-inline                  0.1.7        BSD License                          
 mistune                            3.0.2        BSD License                          
 nbclient                           0.10.0       BSD License                          
 nbconvert                          7.16.4       BSD License                          
 nbformat                           5.10.4       BSD License                          
 packaging                          24.1         Apache Software License; BSD License 
 pandocfilters                      1.5.1        BSD License                          
 parso                              0.8.4        MIT License                          
 pexpect                            4.9.0        ISC License (ISCL)                   
 pickleshare                        0.7.5        MIT License                          
 pipreqs                            0.5.0        Apache Software License              
 platformdirs                       4.2.2        MIT License                          
 prompt_toolkit                     3.0.47       BSD License                          
 ptyprocess                         0.7.0        ISC License (ISCL)                   
 publication                        0.0.3        MIT License                          
 pure-eval                          0.2.2        MIT License                          
 python-dateutil                    2.9.0.post0  Apache Software License; BSD License 
 pyzmq                              26.0.3       BSD License                          
 referencing                        0.35.1       MIT License                          
 requests                           2.32.3       Apache Software License              
 rpds-py                            0.19.0       MIT License                          
 six                                1.16.0       MIT License                          
 soupsieve                          2.5          MIT License                          
 stack-data                         0.6.3        MIT License                          
 tinycss2                           1.3.0        BSD License                          
 tornado                            6.4.1        Apache Software License              
 traitlets                          5.14.3       BSD License                          
 typeguard                          2.13.3       MIT License                          
 typing_extensions                  4.12.2       Python Software Foundation License   
 urllib3                            2.2.2        MIT License                          
 webencodings                       0.5.1        BSD License                          
 yarg                               0.1.9        MIT License                          
